"GemeenteCode";"GemeenteNaam";"AantalZetels"
"1730";"Tynaarlo";"25"
"1731";"Midden-Drenthe";"23"
"1734";"Overbetuwe";"29"
"1735";"Hof van Twente";"25"
"1740";"Neder-Betuwe";"21"
"1742";"Rijssen-Holten";"25"
"1771";"Geldrop-Mierlo";"27"
"1773";"Olst-Wijhe";"17"
"1774";"Dinkelland";"21"
"1783";"Westland";"39"
"1842";"Midden-Delfland";"17"
"1859";"Berkelland";"27"
"1876";"Bronckhorst";"25"
"1883";"Sittard-Geleen";"37"
"1884";"Kaag en Braassem";"21"
"1891";"Dantumadiel";"17"
"1892";"Zuidplas";"29"
"1894";"Peel en Maas";"29"
"1895";"Oldambt";"25"
"1896";"Zwartewaterland";"19"
"1900";"Súdwest-Fryslân";"37"
"1901";"Bodegraven-Reeuwijk";"25"
"1903";"Eijsden-Margraten";"21"
"1904";"Stichtse Vecht";"33"
"1911";"Hollands Kroon";"29"
"1916";"Leidschendam-Voorburg";"35"
"1924";"Goeree-Overflakkee";"31"
"1926";"Pijnacker-Nootdorp";"31"
"1930";"Nissewaard";"37"
"1931";"Krimpenerwaard";"31"
"1940";"De Fryske Marren";"31"
"1942";"Gooise Meren";"33"
"1945";"Berg en Dal";"25"
"1948";"Meierijstad";"37"
"1949";"Waadhoeke";"29"
"1950";"Westerwolde";"21"
"1952";"Midden-Groningen";"33"
"1954";"Beekdaelen";"25"
"1955";"Montferland";"25"
"1959";"Altena";"31"
"1960";"West Betuwe";"31"
"1961";"Vijfheerenlanden";"33"
"1963";"Hoeksche Waard";"37"
"1966";"Het Hogeland";"29"
"1969";"Westerkwartier";"33"
"1970";"Noardeast-Fryslân";"29"
"1978";"Molenlanden";"29"
"1979";"Eemsdelta";"27"
"1980";"Dijk en Waard";"37"
"1982";"Land van Cuijk";"37"
"1991";"Maashorst";"33"
"1992";"Voorne aan Zee";"35"
